"Bundesland","Jahr","Winterferien","Osterferien","Pfingstferien","Sommerferien","Herbstferien","Weihnachtsferien"
"Berlin","2019","04.02. - 09.02.","15.04. - 26.04.","31.05. + 11.06.","20.06. - 02.08.","04.10. + 07.10. - 19.10.","23.12. - 04.01."
"Berlin","2020","03.02. - 08.02.","06.04. - 17.04.","08.05. + 22.05.","25.06. - 07.08.","12.10. - 24.10.","21.12. - 02.01."
"Berlin","2021","01.02. - 06.02.","29.03. - 10.04.","14.05.","24.06. - 06.08.","11.10. - 23.10.","23.12. - 31.12."
"Berlin","2022","29.01. - 05.02.","07.03. + 11.04. - 23.04.","27.05. + 07.06.","07.07. - 19.08.","24.10. - 05.11.","22.12. - 02.01."
"Berlin","2023","03.01. - 04.02.","03.04. - 14.04.","19.05. + 30.05.","13.07. - 25.08.","02.10. + 23.10. - 04.11.","23.12. - 05.01."
"Berlin","2024","05.02. - 10.02.","25.03. - 05.04.","10.05.","18.07. - 30.08.","04.10. + 21.10 - 02.11.","23.12 - 31.12"
"Berlin","2025","03.02. - 08.02.","14.04. - 25.04. / 02.05. / 30.05.","10.06.","24.07. - 06.09.","20.10. - 01.11.","22.12. - 02.01."
"Berlin","2026","02.02. - 07.02.","30.03. - 10.04.+15.05.","26.05.","09.07. - 22.08.","19.10. - 31.10.","23.12. - 02.01."
"Berlin","2027","01.02. - 06.02.","22.03. - 02.04. + 07.05.","18.05. - 19.05.","01.07. - 14.08.","11.10. - 23.10.","22.12. - 31.12."
"Berlin","2028","31.01. - 05.02.","10.04. - 22.04. + 26.05.","01.06. - 02.06.","01.07. - 12.08.","02.10. - 14.10.","22.12. - 02.01."
