Month;Year;Population status month begin;Number of relocation to Berlin;Number of relocation from Berlin;Relocation balance;Population status balance;Population status month end;living births;deaths
1;2019;3644826;14588;11736;2852;2534;3647360;2705;2920
2;2019;3647360;16188;12062;4126;3633;3650993;2936;3112
3;2019;3650993;14913;12621;2292;1892;3652885;3175;3137
4;2019;3652885;13672;12036;1636;1818;3654703;3054;2747
5;2019;3654703;11985;13079;-1094;-829;3653874;3332;2839
6;2019;3653874;12519;13877;-1358;-1234;3652640;3356;2954
7;2019;3652640;16121;18687;-2566;-2018;3650622;3601;2751
8;2019;3650622;16416;16059;357;1235;3651857;3721;2641
9;2019;3651857;18352;14390;3962;4660;3656517;3517;2807
10;2019;3656517;20801;14008;6793;7389;3663906;3326;2769
11;2019;3663906;14464;12107;2357;2582;3666488;3062;2833
12;2019;3666488;14790;12508;2282;3003;3669491;3711;3220
1;2020;3669491;16267;13609;2658;2418;3671909;2912;2978
2;2020;3671909;12811;11987;824;749;3672658;2982;2948
3;2020;3672658;6830;10251;-3421;-3560;3669098;2865;2984
4;2020;3669098;5704;9068;-3364;-3783;3665315;2853;3032
5;2020;3665315;7607;9513;-1906;-1775;3663540;3113;3024
6;2020;3663540;10107;11935;-1828;-1039;3662501;3471;2866
7;2020;3662501;12934;14513;-1579;-1040;3661461;3368;2811
8;2020;3661461;14102;14209;-107;311;3661772;3517;3028
9;2020;3661772;15473;13721;1752;1513;3663285;3326;2779
10;2020;3663285;15983;14449;1534;1086;3664371;3476;3081
11;2020;3664371;14699;11569;3130;2449;3666820;3159;3298
12;2020;3666820;10469;11563;-1094;-2732;3664088;3649;4828
1;2021;3664088;13933;10991;2942;1437;3665525;2601;3806
2;2021;3665525;12546;10244;2302;1881;3667406;3018;3205
3;2021;3667406;10736;10926;-190;-510;3666896;3247;3082
4;2021;3666896;9360;10352;-992;-1386;3665510;3000;2996
5;2021;3665510;11957;11233;724;592;3666102;3244;3027
6;2021;3666102;10463;12541;-2078;-1974;3664128;3096;2844
7;2021;3664128;13614;15531;-1917;-1520;3662608;3330;2918
8;2021;3662608;19346;15065;4281;4898;3667506;3408;2795
9;2021;3667506;15944;13995;1949;2305;3669811;3385;2908
10;2021;3669811;16212;14308;1904;2046;3671857;3434;3149
11;2021;3671857;17202;12747;4455;4056;3675913;3250;3113
12;2021;3675913;15247;13586;1661;1559;3677472;4154;3863
1;2022;3677472;14986;11592;3394;1931;3679403;2294;3145
2;2022;3679403;14327;11215;3112;1903;3681306;2653;3322
3;2022;3681306;32637;11647;20990;20055;3701361;2850;3328
4;2022;3701361;25118;11888;13230;12540;3713901;2694;2985
5;2022;3713901;19851;11973;7878;7698;3721599;3071;3082
6;2022;3721599;15916;12016;3900;4051;3725650;3113;2976
7;2022;3725650;16035;15006;1029;1036;3726686;3216;3205
8;2022;3726686;18706;17053;1653;1713;3728399;3225;3243
9;2022;3728399;20226;13814;6412;6765;3735164;3322;2947
10;2022;3735164;23771;13073;10698;10616;3745780;2975;3270
11;2022;3745780;18771;11523;7248;6976;3752756;2859;3207
12;2022;3752756;15208;11396;3812;2495;3755251;3459;4862
1;2023;3755251;16006;11136;4870;4192;3759443;2239;2965
2;2023;3759443;14533;11053;3480;2840;3762283;2714;3371
3;2023;3762283;14734;11747;2987;2267;3764550;2715;3370
4;2023;3764550;13875;11877;1998;1612;3766162;2711;3133
5;2023;3766162;14718;12422;2296;1886;3768048;2864;3229
6;2023;3768048;15416;12739;2677;2651;3770699;3052;3032
7;2023;3770699;15672;15813;-141;-165;3770534;3066;3048
8;2023;3770534;17326;17016;310;266;3770800;2889;2869
9;2023;3770800;19055;14483;4572;4614;3775414;2818;2727
10;2023;3775414;19400;13796;5604;5165;3780579;2882;3264
11;2023;3780579;16007;12207;3800;3495;3784074;2681;3025
12;2023;3784074;11259;12180;-921;-1872;3782202;3489;4440
