year,month,sales_volume_constant,change_constant,sales_volume_current,change_current,sales_volume_constant_lag1,sales_volume_constant_lag2,sales_volume_constant_lag3,change_constant_lag1,change_constant_lag2,change_constant_lag3,sales_volume_current_lag1,sales_volume_current_lag2,sales_volume_current_lag3,change_current_lag1,change_current_lag2,change_current_lag3
2019,1,109.0,2.6,111.0,3.2,,,,,,,,,,,,
2019,2,102.1,4.7,104.6,5.5,109.0,,,2.6,,,111.0,,,3.2,,
2019,3,115.1,1.1,118.2,1.3,102.1,109.0,,4.7,2.6,,104.6,111.0,,5.5,3.2,
2019,4,115.4,6.0,119.2,6.4,115.1,102.1,109.0,1.1,4.7,2.6,118.2,104.6,111.0,1.3,5.5,3.2
2019,5,112.6,4.7,116.5,5.4,115.4,115.1,102.1,6.0,1.1,4.7,119.2,118.2,104.6,6.4,1.3,5.5
2019,6,113.6,2.1,117.0,2.7,112.6,115.4,115.1,4.7,6.0,1.1,116.5,119.2,118.2,5.4,6.4,1.3
2019,7,109.3,3.0,111.9,4.1,113.6,112.6,115.4,2.1,4.7,6.0,117.0,116.5,119.2,2.7,5.4,6.4
2019,8,113.6,5.3,116.2,5.7,109.3,113.6,112.6,3.0,2.1,4.7,111.9,117.0,116.5,4.1,2.7,5.4
2019,9,113.7,6.6,117.2,6.5,113.6,109.3,113.6,5.3,3.0,2.1,116.2,111.9,117.0,5.7,4.1,2.7
2019,10,119.8,3.2,123.9,3.4,113.7,113.6,109.3,6.6,5.3,3.0,117.2,116.2,111.9,6.5,5.7,4.1
2019,11,130.9,3.5,135.2,3.9,119.8,113.7,113.6,3.2,6.6,5.3,123.9,117.2,116.2,3.4,6.5,5.7
2019,12,134.4,1.8,138.5,2.6,130.9,119.8,113.7,3.5,3.2,6.6,135.2,123.9,117.2,3.9,3.4,6.5
2020,1,115.5,6.0,118.7,6.9,134.4,130.9,119.8,1.8,3.5,3.2,138.5,135.2,123.9,2.6,3.9,3.4
2020,2,111.3,9.0,115.1,10.0,115.5,134.4,130.9,6.0,1.8,3.5,118.7,138.5,135.2,6.9,2.6,3.9
2020,3,114.0,-1.0,118.7,0.4,111.3,115.5,134.4,9.0,6.0,1.8,115.1,118.7,138.5,10.0,6.9,2.6
2020,4,109.4,-5.2,114.5,-3.9,114.0,111.3,115.5,-1.0,9.0,6.0,118.7,115.1,118.7,0.4,10.0,6.9
2020,5,114.3,1.5,119.3,2.4,109.4,114.0,111.3,-5.2,-1.0,9.0,114.5,118.7,115.1,-3.9,0.4,10.0
2020,6,118.0,3.9,122.6,4.8,114.3,109.4,114.0,1.5,-5.2,-1.0,119.3,114.5,118.7,2.4,-3.9,0.4
