Month,Year,Tour_Arrivals,Tour_Stays,Avg_Daily_Arrivals,Avg_Daily_Stays
01,2019,914931.0,2159841.0,29514.0,69672.0
02,2019,949002.0,2235628.0,33893.0,79844.0
03,2019,1110954.0,2642288.0,35837.0,85235.0
04,2019,1184986.0,3009169.0,39500.0,100306.0
05,2019,1277674.0,3010462.0,41215.0,97112.0
06,2019,1244717.0,3047930.0,41491.0,101598.0
07,2019,1225219.0,3216242.0,39523.0,103750.0
08,2019,1274832.0,3399163.0,41124.0,109650.0
09,2019,1255860.0,3035799.0,41862.0,101193.0
10,2019,1273608.0,3120607.0,41084.0,100665.0
11,2019,1178897.0,2646847.0,39297.0,88228.0
12,2019,1072665.0,2600388.0,34602.0,83883.0
01,2020,956965.0,2201190.0,30870.0,71006.0
02,2020,975212.0,2311723.0,34829.0,82562.0
03,2020,382237.0,906566.0,12330.0,29244.0
04,2020,51431.0,162486.0,1714.0,5416.0
05,2020,101083.0,285033.0,3261.0,9195.0
06,2020,271806.0,652900.0,9060.0,21763.0
07,2020,517885.0,1319367.0,16706.0,42560.0
08,2020,611002.0,1604329.0,19710.0,51753.0
09,2020,529654.0,1281444.0,17655.0,42715.0
10,2020,346533.0,906425.0,11178.0,29240.0
11,2020,117266.0,359355.0,3909.0,11978.0
12,2020,86507.0,287642.0,2791.0,9279.0
01,2021,80878.0,284435.0,2609.0,9175.0
02,2021,86653.0,293644.0,3095.0,10487.0
03,2021,119645.0,379115.0,3860.0,12230.0
04,2021,110419.0,355646.0,3681.0,11855.0
05,2021,143714.0,418880.0,4636.0,13512.0
06,2021,311599.0,806546.0,10387.0,26885.0
07,2021,630108.0,1689577.0,20326.0,54502.0
08,2021,842140.0,2329505.0,27166.0,75145.0
09,2021,756313.0,1961079.0,25210.0,65369.0
10,2021,903164.0,2437101.0,29134.0,78616.0
11,2021,681442.0,1771471.0,22715.0,59049.0
12,2021,462512.0,1233121.0,14920.0,39778.0
01,2022,320600.0,868859.0,10342.0,28028.0
02,2022,405397.0,1052478.0,14478.0,37588.0
03,2022,626663.0,1610552.0,20215.0,51953.0
04,2022,884783.0,2350491.0,29493.0,78350.0
05,2022,1034367.0,2551125.0,33367.0,82294.0
06,2022,1089725.0,2710174.0,36324.0,90339.0
07,2022,1121523.0,2974901.0,36178.0,95965.0
08,2022,1042398.0,2804197.0,33626.0,90458.0
09,2022,1058455.0,2619619.0,35282.0,87321.0
10,2022,1080277.0,2754285.0,34848.0,88848.0
11,2022,903790.0,2117346.0,30126.0,70578.0
12,2022,858338.0,2112342.0,27688.0,68140.0
01,2023,680523.0,1644746.0,21952.0,53056.0
02,2023,800439.0,1925059.0,28587.0,68752.0
03,2023,950088.0,2228004.0,30648.0,71871.0
04,2023,1027966.0,2598159.0,34266.0,86605.0
05,2023,1089829.0,2665986.0,35156.0,86000.0
06,2023,1132466.0,2756469.0,37749.0,91882.0
07,2023,1157365.0,2971402.0,37334.0,95852.0
08,2023,1041352.0,2775654.0,33592.0,89537.0
09,2023,1158855.0,2801039.0,38628.0,93368.0
10,2023,1094242.0,2728227.0,35298.0,88007.0
11,2023,1011701.0,2253117.0,33723.0,75104.0
12,2023,941615.0,2241581.0,30375.0,72309.0
,__________,,,,
,"Ab 2011:
Ab dem Berichtsjahr 2011 liegt der Monatserhebung im
Tourismus eine neue Abschneidegrenze für die
Auskunftspflicht zugrunde. Bei den Beherbergungsbetrieben
wurde die Mindestanzahl der Schlafgelegenheiten von
9 auf 10 bzw. bei den Campingplätzen von 3 auf 10
Stellplätze angehoben.",,,,
,"© Statistisches Bundesamt (Destatis), 2025",,,,
,Stand: 10.02.2025 / 14:46:12,,,,
