Tabelle: 45412-0025
Ankünfte, Übernachtungen in Beherbergungsbetrieben:;;;
Bundesländer, Monate;;;
Monatserhebung im Tourismus;;;;;
;;Berlin;;;
;;Ankünfte;;Übernachtungen;
;;Anzahl;Anzahl;Anzahl;Anzahl
2019;Januar;914931;e;2159841;e
;Februar;949002;e;2235628;e
;März;1110954;e;2642288;e
;April;1184986;e;3009169;e
;Mai;1277674;e;3010462;e
;Juni;1244717;e;3047930;e
;Juli;1225219;e;3216242;e
;August;1274832;e;3399163;e
;September;1255860;e;3035799;e
;Oktober;1273608;e;3120607;e
;November;1178897;e;2646847;e
;Dezember;1072665;e;2600388;e
2020;Januar;956965;e;2201190;e
;Februar;975212;e;2311723;e
;März;382237;e;906566;e
;April;51431;e;162486;e
;Mai;101083;e;285033;e
;Juni;271806;e;652900;e
;Juli;517885;e;1319367;e
;August;611002;e;1604329;e
;September;529654;e;1281444;e
;Oktober;346533;e;906425;e
;November;117266;e;359355;e
;Dezember;86507;e;287642;e
2021;Januar;80878;e;284435;e
;Februar;86653;e;293644;e
;März;119645;e;379115;e
;April;110419;e;355646;e
;Mai;143714;e;418880;e
;Juni;311599;e;806546;e
;Juli;630108;e;1689577;e
;August;842140;e;2329505;e
;September;756313;e;1961079;e
;Oktober;903164;e;2437101;e
;November;681442;e;1771471;e
;Dezember;462512;e;1233121;e
2022;Januar;320600;e;868859;e
;Februar;405397;e;1052478;e
;März;626663;e;1610552;e
;April;884783;e;2350491;e
;Mai;1034367;e;2551125;e
;Juni;1089725;e;2710174;e
;Juli;1121523;e;2974901;e
;August;1042398;e;2804197;e
;September;1058455;e;2619619;e
;Oktober;1080277;e;2754285;e
;November;903790;e;2117346;e
;Dezember;858338;e;2112342;e
2023;Januar;680523;e;1644746;e
;Februar;800439;e;1925059;e
;März;950088;e;2228004;e
;April;1027966;e;2598159;e
;Mai;1089829;e;2665986;e
;Juni;1132466;e;2756469;e
;Juli;1157365;e;2971402;e
;August;1041352;e;2775654;e
;September;1158855;e;2801039;e
;Oktober;1094242;e;2728227;e
;November;1011701;p;2253117;p
;Dezember;941615;p;2241581;p
__________
"Ab 2011:
Ab dem Berichtsjahr 2011 liegt der Monatserhebung im
Tourismus eine neue Abschneidegrenze für die
Auskunftspflicht zugrunde. Bei den Beherbergungsbetrieben
wurde die Mindestanzahl der Schlafgelegenheiten von
9 auf 10 bzw. bei den Campingplätzen von 3 auf 10
Stellplätze angehoben."
© Statistisches Bundesamt (Destatis), 2025
Stand: 10.02.2025 / 14:46:12
