Tabelle: 45212-0014
Umsatz im Einzelhandel: Bundesländer, Monate/Quartale/Halbjahre, Preisarten;;;;;;
Monatsstatistik im Einzelhandel;;;;;;;;;;
;;;Preisarten;;;;;;;
;;;in konstanten Preisen;;;;in jeweiligen Preisen;;;
;;;Umsatz;;Veränderung zur Vorjahresperiode;;Umsatz;;Veränderung zur Vorjahresperiode;
;;;2015=100;2015=100;in (%);in (%);2015=100;2015=100;in (%);in (%)
Berlin;2019;Januar;109,0;e;2,6;e;111,0;e;3,2;e
;;Februar;102,1;e;4,7;e;104,6;e;5,5;e
;;März;115,1;e;1,1;e;118,2;e;1,3;e
;;April;115,4;e;6,0;e;119,2;e;6,4;e
;;Mai;112,6;e;4,7;e;116,5;e;5,4;e
;;Juni;113,6;e;2,1;e;117,0;e;2,7;e
;;Juli;109,3;e;3,0;e;111,9;e;4,1;e
;;August;113,6;e;5,3;e;116,2;e;5,7;e
;;September;113,7;e;6,6;e;117,2;e;6,5;e
;;Oktober;119,8;e;3,2;e;123,9;e;3,4;e
;;November;130,9;e;3,5;e;135,2;e;3,9;e
;;Dezember;134,4;e;1,8;e;138,5;e;2,6;e
;2020;Januar;115,5;e;6,0;e;118,7;e;6,9;e
;;Februar;111,3;e;9,0;e;115,1;e;10,0;e
;;März;114,0;e;-1,0;e;118,7;e;0,4;e
;;April;109,4;e;-5,2;e;114,5;e;-3,9;e
;;Mai;114,3;e;1,5;e;119,3;e;2,4;e
;;Juni;118,0;e;3,9;e;122,6;e;4,8;e
;;Juli;115,8;e;5,9;e;120,3;e;7,5;e
;;August;113,7;e;0,1;e;118,2;e;1,7;e
;;September;120,0;e;5,5;e;125,4;e;7,0;e
;;Oktober;127,8;e;6,7;e;133,9;e;8,1;e
;;November;136,4;e;4,2;e;142,2;e;5,2;e
;;Dezember;135,3;e;0,7;e;141,0;e;1,8;e
;2021;Januar;103,8;p;-10,1;p;108,0;p;-9,0;p
;;Februar;104,6;p;-6,0;p;109,7;p;-4,7;p
;;März;130,9;p;14,8;p;137,1;p;15,5;p
;;April;118,8;p;8,6;p;125,0;p;9,2;p
;;Mai;123,0;p;7,6;p;129,7;p;8,7;p
;;Juni;125,3;p;6,2;p;132,0;p;7,7;p
;;Juli;114,7;p;-0,9;p;120,9;p;0,5;p
;;August;119,6;p;5,2;p;126,0;p;6,6;p
;;September;123,9;p;3,3;p;131,3;p;4,7;p
;;Oktober;130,7;p;2,3;p;139,0;p;3,8;p
;;November;145,5;p;6,7;p;154,7;p;8,8;p
;;Dezember;149,6;p;10,6;p;159,6;p;13,2;p
;2022;Januar;115,5;p;11,3;p;123,9;p;14,7;p
;;Februar;110,6;p;5,7;p;119,5;p;8,9;p
;;März;129,3;p;-1,2;p;141,6;p;3,3;p
;;April;124,1;p;4,5;p;137,8;p;10,2;p
;;Mai;125,9;p;2,4;p;141,6;p;9,2;p
;;Juni;119,4;p;-4,7;p;134,9;p;2,2;p
;;Juli;114,3;p;-0,3;p;129,6;p;7,2;p
;;August;116,5;p;-2,6;p;132,8;p;5,4;p
;;September;127,1;p;2,6;p;146,3;p;11,4;p
;;Oktober;121,2;p;-7,3;p;141,5;p;1,8;p
;;November;142,0;p;-2,4;p;165,5;p;7,0;p
;;Dezember;139,2;p;-7,0;p;163,3;p;2,3;p
;2023;Januar;120,9;p;4,7;p;140,1;p;13,1;p
;;Februar;107,2;p;-3,1;p;126,1;p;5,5;p
;;März;122,4;p;-5,3;p;146,0;p;3,1;p
;;April;114,4;p;-7,8;p;137,3;p;-0,4;p
;;Mai;124,5;p;-1,1;p;149,2;p;5,4;p
;;Juni;124,7;p;4,4;p;149,2;p;10,6;p
;;Juli;120,7;p;5,6;p;143,0;p;10,3;p
;;August;114,1;p;-2,1;p;136,1;p;2,5;p
;;September;114,4;p;-10,0;p;137,9;p;-5,7;p
;;Oktober;124,0;p;2,3;p;149,2;p;5,4;p
;;November;140,1;p;-1,3;p;167,8;p;1,4;p
;;Dezember;140,8;p;1,1;p;168,9;p;3,4;p
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 10.02.2025 / 15:16:06
