Tabelle: 45213-0014
Umsatz im Gastgewerbe: Bundesländer, Monate/Quartale/Halbjahre, Preisarten;;;;
Monatsstatistik im Gastgewerbe;;;;;;
;;;Preisarten;;;
;;;in konstanten Preisen;;;
;;;Umsatz;;Veränderung zur Vorjahresperiode;
;;;2015=100;2015=100;in (%);in (%)
Berlin;2019;Januar;86,3;e;4,2;e
;;Februar;92,4;e;4,5;e
;;März;103,5;e;3,2;e
;;April;99,9;e;-2,0;e
;;Mai;111,1;e;3,9;e
;;Juni;109,4;e;-3,2;e
;;Juli;96,7;e;-3,4;e
;;August;103,6;e;1,9;e
;;September;118,5;e;-1,7;e
;;Oktober;112,0;e;-0,9;e
;;November;110,8;e;3,4;e
;;Dezember;106,2;e;0,6;e
;2020;Januar;86,8;e;0,6;e
;;Februar;91,8;e;-0,6;e
;;März;56,3;e;-45,6;e
;;April;23,1;e;-76,9;e
;;Mai;33,4;e;-69,9;e
;;Juni;47,1;e;-56,9;e
;;Juli;54,6;e;-43,5;e
;;August;61,7;e;-40,4;e
;;September;64,4;e;-45,7;e
;;Oktober;52,3;e;-53,3;e
;;November;28,7;e;-74,1;e
;;Dezember;27,7;e;-73,9;e
;2021;Januar;24,3;p;-72,0;p
;;Februar;24,8;p;-73,0;p
;;März;31,7;p;-43,7;p
;;April;27,5;p;19,0;p
;;Mai;35,0;p;4,8;p
;;Juni;55,4;p;17,6;p
;;Juli;59,2;p;8,4;p
;;August;73,4;p;19,0;p
;;September;87,8;p;36,3;p
;;Oktober;80,0;p;53,0;p
;;November;79,9;p;178,4;p
;;Dezember;64,1;p;131,4;p
;2022;Januar;48,2;p;98,4;p
;;Februar;52,3;p;110,9;p
;;März;65,0;p;105,0;p
;;April;77,7;p;182,5;p
;;Mai;91,2;p;160,6;p
;;Juni;95,1;p;71,7;p
;;Juli;87,7;p;48,1;p
;;August;83,9;p;14,3;p
;;September;99,7;p;13,6;p
;;Oktober;91,2;p;14,0;p
;;November;80,0;p;0,1;p
;;Dezember;86,1;p;34,3;p
;2023;Januar;63,9;p;32,6;p
;;Februar;68,8;p;31,5;p
;;März;77,9;p;19,8;p
;;April;78,4;p;0,9;p
;;Mai;85,3;p;-6,5;p
;;Juni;94,2;p;-0,9;p
;;Juli;86,1;p;-1,8;p
;;August;76,8;p;-8,5;p
;;September;97,0;p;-2,7;p
;;Oktober;86,4;p;-5,3;p
;;November;79,1;p;-1,1;p
;;Dezember;80,3;p;-6,7;p
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 10.02.2025 / 15:24:10
