date,avg_temperature,precipitation,snow(mm)
01.01.2019,6.4,2.2,0.0
02.01.2019,1.8,0.1,0.0
03.01.2019,-0.4,0.0,0.0
04.01.2019,1.8,1.9,0.0
05.01.2019,6.0,0.0,0.0
06.01.2019,2.0,0.2,0.0
07.01.2019,3.0,6.5,0.0
08.01.2019,4.6,10.2,0.0
09.01.2019,1.9,2.3,0.0
10.01.2019,0.9,0.0,0.0
11.01.2019,2.2,1.5,0.0
12.01.2019,4.9,3.8,0.0
13.01.2019,6.1,4.0,0.0
14.01.2019,2.5,0.0,0.0
15.01.2019,3.9,1.6,0.0
16.01.2019,6.1,0.0,0.0
17.01.2019,4.4,3.3,0.0
18.01.2019,0.4,0.0,10.0
19.01.2019,-0.2,0.0,0.0
20.01.2019,-2.7,0.0,0.0
21.01.2019,-3.5,0.0,0.0
22.01.2019,-3.5,0.0,0.0
23.01.2019,-5.5,0.0,0.0
24.01.2019,-3.9,0.0,0.0
25.01.2019,-3.7,0.7,0.0
26.01.2019,0.6,5.0,10.0
27.01.2019,4.0,2.7,0.0
28.01.2019,3.0,1.8,0.0
29.01.2019,0.9,0.0,0.0
30.01.2019,-0.5,0.0,0.0
31.01.2019,0.1,0.0,0.0
01.02.2019,-0.7,1.3,0.0
02.02.2019,0.7,1.1,0.0
03.02.2019,1.0,0.0,0.0
04.02.2019,1.0,0.1,0.0
05.02.2019,2.1,0.0,0.0
06.02.2019,3.1,0.0,0.0
07.02.2019,2.3,0.2,0.0
08.02.2019,5.2,0.0,0.0
09.02.2019,7.5,0.9,0.0
10.02.2019,6.2,10.6,0.0
11.02.2019,4.3,0.2,0.0
12.02.2019,3.1,0.1,0.0
13.02.2019,6.1,0.3,0.0
14.02.2019,6.2,0.0,0.0
15.02.2019,4.5,0.0,0.0
16.02.2019,5.9,0.0,0.0
17.02.2019,4.8,0.0,0.0
18.02.2019,5.8,0.0,0.0
19.02.2019,6.2,0.5,0.0
20.02.2019,7.5,0.3,0.0
21.02.2019,8.0,3.3,0.0
22.02.2019,3.4,0.1,0.0
23.02.2019,-0.2,0.0,0.0
24.02.2019,2.8,0.0,0.0
25.02.2019,5.9,0.0,0.0
26.02.2019,6.4,0.0,0.0
27.02.2019,7.0,0.0,0.0
28.02.2019,7.8,0.0,0.0
01.03.2019,4.3,0.0,0.0
02.03.2019,3.8,0.4,0.0
03.03.2019,8.7,1.0,0.0
04.03.2019,9.5,2.7,0.0
05.03.2019,6.0,0.8,0.0
06.03.2019,6.7,1.2,0.0
07.03.2019,10.3,0.2,0.0
08.03.2019,7.6,2.2,0.0
09.03.2019,7.1,6.9,0.0
10.03.2019,4.4,13.7,0.0
11.03.2019,3.1,3.0,0.0
12.03.2019,5.4,0.7,0.0
13.03.2019,7.3,1.6,0.0
14.03.2019,5.7,10.6,0.0
15.03.2019,7.5,1.0,0.0
16.03.2019,6.5,5.4,0.0
17.03.2019,8.3,0.9,0.0
18.03.2019,5.0,1.1,0.0
19.03.2019,4.4,0.0,0.0
20.03.2019,6.9,0.0,0.0
21.03.2019,9.5,0.0,0.0
22.03.2019,8.4,0.0,0.0
23.03.2019,9.5,0.0,0.0
24.03.2019,6.6,0.0,0.0
25.03.2019,4.3,4.1,0.0
26.03.2019,4.9,1.1,0.0
27.03.2019,7.3,2.4,0.0
28.03.2019,8.7,0.8,0.0
29.03.2019,9.4,0.0,0.0
30.03.2019,10.2,0.0,0.0
31.03.2019,8.0,0.0,0.0
